"source_row_id","source_sheet","source_file","meeting_date","meeting_month","mentor_person_id","mentee_person_id","match_id","recap_url","recap_note","meeting_type","mapping_status","mapping_notes","approved_for_import","review_note"
"Cleaning data:1697","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-26","2026-03","ba1d95e2-a4aa-442b-af1f-5172bebfe625","","","https://system.local/missing-url","Recap ngày 26/03 - Muốn quản lý công việc phải xác định mục tiêu Tháng -> Tuần -> Ngày rồi break chia chi tiết các đầu việc để quản lý. Phải check tiến độ và note khi có tasks mới. - Khi Sếp giao việc phải hỏi nhưng trước khi hỏi phải suy nghĩ kĩ trước khi hỏi. - Mình đang quá tập trung vào short-term mà quên đi long-term phải đặt ra 5 10 năm nữa muốn là ai, còn bao xa tới đó. Việc mình đang làm còn bao xa để đạt được tới đó. - chính trị công sở là hiển nhiên. Nhưng điều quan trọng là năng lực v","other","missing_mentee","Mentor mapped by normalized full name. Generated generic placeholder recap_url because source URL/reference is missing.","false","Resolve mentee_person_id before import. Placeholder URL requires human approval."
"Cleaning data:1774","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-14","2026-03","5a927cf8-cf7f-4676-aae2-cf203d41c8a8","","","https://system.local/missing-url","Hướng nghiệp HR online:","other","missing_mentee","Mentor mapped by normalized full name. Generated generic placeholder recap_url because source URL/reference is missing.","false","Resolve mentee_person_id before import. Placeholder URL requires human approval."
"Cleaning data:1803","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-08","2026-03","3a8cf3c2-ddb4-4287-87e1-9d4f2a98c107","","","https://system.local/missing-url?ref=x","**#UEUEF11327** **#mentoring** **[RECAP BUỔI 3 - 20/1/2026]** **Mentor: Chị Lê Nguyên Thảo** **Mentee: Đặng Thị Bích Ngọc** **----------------------------------------** Xin chào mọi người, mình là Đặng Thị Bích Ngọc. Hôm nay mình muốn chia sẻ lại một chút về buổi mentoring lần thứ ba của mình với chị Thảo vào ngày 20/01/2026. Sau một khoảng thời gian kể từ lần gặp trước, buổi nói chuyện lần này giống như một dịp để mình được nhìn lại những gì mình đã đặt ra trước đó, đồng thời tiếp tục đào sâu h","mentoring","missing_mentee","Mentor mapped by normalized full name. Generated placeholder recap_url from recap_reference.","false","Resolve mentee_person_id before import. Placeholder URL requires human approval."
"Cleaning data:1812","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-07","2026-03","5ba7ab35-8178-40dc-8bc7-2e14459fd69c","","","https://system.local/missing-url","Nghề HR","other","missing_mentee","Mentor mapped by normalized full name. Generated generic placeholder recap_url because source URL/reference is missing.","false","Resolve mentee_person_id before import. Placeholder URL requires human approval."
